Data,Feasible Num,Plain Occupancy,Planning Time,All time
0,45,0.926,52.262,197.810
1,59,0.873,83.837,279.826
2,80,0.895,111.258,370.841
3,64,0.904,90.529,302.859
4,63,0.913,89.566,299.053
5,68,0.935,95.492,322.672
6,79,0.926,108.711,365.756
7,41,0.908,56.814,195.352
8,70,0.880,100.320,336.698
9,60,0.907,85.235,285.569
10,50,0.898,73.840,244.456
11,80,0.893,110.445,372.067
12,55,0.900,80.919,267.514
13,75,0.866,119.449,373.667
14,75,0.908,119.417,375.103
15,58,0.876,92.812,291.082
16,61,0.892,97.184,306.420
17,68,0.891,111.253,348.697
18,80,0.898,131.593,402.642
19,74,0.903,118.620,373.091
20,70,0.881,116.326,356.461
21,54,0.912,88.985,276.744
22,80,0.908,130.605,398.209
23,79,0.899,128.976,395.037
24,80,0.908,125.715,397.095
25,61,0.892,89.931,295.327
26,56,0.875,86.963,275.731
27,69,0.871,98.720,326.984
28,56,0.902,78.937,266.733
29,80,0.903,122.622,394.875
